2019-10-10 12:07:00.368 [restartedMain] INFO  com.example.demo.DemoApplication - Started DemoApplication in 6.379 seconds (JVM running for 8.21)
2019-10-10 12:07:20.694 [http-nio-4099-exec-2] INFO  com.example.demo.config.listener.Customlister - 监听器：初始化
2019-10-10 12:07:20.702 [http-nio-4099-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-10-10 12:07:20.704 [http-nio-4099-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-10-10 12:07:20.714 [http-nio-4099-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 10 ms
2019-10-10 12:07:20.727 [http-nio-4099-exec-2] INFO  com.example.demo.config.filter.CustomFilter - doFilter   请求处理！！！
2019-10-10 12:07:20.737 [http-nio-4099-exec-2] INFO  c.e.d.config.interceptor.CustomHandlerInterceptor - preHandle:请求前调用
2019-10-10 12:07:33.804 [http-nio-4099-exec-2] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.jdbc.BadSqlGrammarException: 
### Error updating database.  Cause: java.sql.SQLSyntaxErrorException: ORA-00907: missing right parenthesis

### The error may exist in file [C:\MrX\springbootDemo\first\mavenDemoForSpringBoot\target\classes\mapper\ShippingCostAreaDao.xml]
### The error may involve defaultParameterMap
### The error occurred while setting parameters
### SQL: insert into SHIPPING_COST_AREA (         ID,         SHIPPING_COMPANY_ID,         SHIPPING_METHOD_ID,         SHIPPING_FROM_COUNTRY,         SHIPPING_FROM_STATE,         SHIPPING_FROM_CITY,         SHIPPING_FROM_ZIPCODE,         SHIPPING_TO_COUNTRY,         SHIPPING_TO_STATE,         SHIPPING_TO_CITY,         SHIPPING_TO_ZIPCODE,         CREATE_DATE,         UPDATE_DATE,         ERROR_CODE,         ERROR_MESSAGE,         CREATE_BY,         UPDATE_BY         )         select SEQ_SHIPPING_COST_AREA.nextval,temp.* from         (         select temp1.* from (                        select             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             sysdate,             ?,             ?,             ?,             ?,             ?             from             dual          union all              select             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             sysdate,             ?,             ?,             ?,             ?,             ?             from             dual          union all              select             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             sysdate,             ?,             ?,             ?,             ?,             ?             from             dual          union all              select             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             sysdate,             ?,             ?,             ?,             ?,             ?             from             dual          union all              select             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             sysdate,             ?,             ?,             ?,             ?,             ?             from             dual          union all              select             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             sysdate,             ?,             ?,             ?,             ?,             ?             from             dual          union all              select             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             sysdate,             ?,             ?,             ?,             ?,             ?             from             dual          union all              select             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             sysdate,             ?,             ?,             ?,             ?,             ?             from             dual          union all              select             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             sysdate,             ?,             ?,             ?,             ?,             ?             from             dual          union all              select             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             ?,             sysdate,             ?,             ?,             ?,             ?,             ?             from             dual                   ) temp1 where not exists (         select 1 from SHIPPING_COST_AREA b         where temp.SHIPPING_COMPANY_ID = b.SHIPPING_COMPANY_ID and temp.SHIPPING_METHOD_ID = b.SHIPPING_METHOD_ID         temp.SHIPPING_FROM_ZIPCODE = b.SHIPPING_FROM_ZIPCODE and temp.SHIPPING_TO_ZIPCODE = b.SHIPPING_TO_ZIPCODE         )       ) temp
### Cause: java.sql.SQLSyntaxErrorException: ORA-00907: missing right parenthesis

; bad SQL grammar []; nested exception is java.sql.SQLSyntaxErrorException: ORA-00907: missing right parenthesis
]
2019-10-10 12:07:33.807 [http-nio-4099-exec-2] INFO  c.e.d.config.interceptor.CustomHandlerInterceptor - afterCompletion:请求调用完成后回调方法，即在视图渲染完成后回调
2019-10-10 12:07:33.808 [http-nio-4099-exec-2] INFO  com.example.demo.config.listener.Customlister - 监听器：销毁
2019-10-10 12:08:02.173 [Thread-6] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2019-10-10 12:08:02.175 [Thread-6] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-10-10 12:08:02.185 [Thread-6] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2019-10-10 12:08:02.386 [Thread-6] INFO  com.example.demo.config.filter.CustomFilter - filter  销毁~！！！
